Estado_A,Filial_A,Estado_B,Filial_B,Distancia_km,Leadtime
PR,ANIMALE MUELLER CM,SP,ANIMALE HIGIENOPOLIS CM,336.414,7.569
SP,ANIMALE HIGIENOPOLIS CM,RN,ANIMALE NATAL CM,2311.242,52.003
RN,ANIMALE NATAL CM,SP,ANIMALE HIGIENOPOLIS CM,2311.242,52.003
RJ,ANIMALE ICARAI 02 CM,RJ,ANIMALE ICARAI CM,0.225,0.005
RJ,ANIMALE ICARAI CM,RJ,ANIMALE ICARAI 02 CM,0.225,0.005
RJ,ANIMALE ICARAI 02 CM,SC,ANIMALE IG FLORIPA CM,752.095,16.922
SC,ANIMALE IG FLORIPA CM,RJ,ANIMALE ICARAI 02 CM,752.095,16.922
RJ,ANIMALE ICARAI 02 CM,SP,ANIMALE IG RIBEIRAO CM,521.721,11.739
SP,ANIMALE IG RIBEIRAO CM,RJ,ANIMALE ICARAI 02 CM,521.721,11.739
RJ,ANIMALE ICARAI 02 CM,RJ,BUZIOS CM,126.844,2.854
RJ,BUZIOS CM,RJ,ANIMALE ICARAI 02 CM,126.844,2.854
RJ,ANIMALE ICARAI 02 CM,SP,ANIMALE ALPHAVILLE CM,388.175,8.734
SP,ANIMALE ALPHAVILLE CM,RJ,ANIMALE ICARAI 02 CM,388.175,8.734
RJ,ANIMALE ICARAI 02 CM,SE,ANIMALE ARACAJU CM,1471.735,33.114
SE,ANIMALE ARACAJU CM,RJ,ANIMALE ICARAI 02 CM,1471.735,33.114
RJ,ANIMALE ICARAI 02 CM,SC,ANIMALE BALNEARIO SHOP CM,719.181,16.182
SC,ANIMALE BALNEARIO SHOP CM,RJ,ANIMALE ICARAI 02 CM,719.181,16.182
RJ,ANIMALE ICARAI 02 CM,PR,ANIMALE BARIGUI CM,691.259,15.553
PR,ANIMALE BARIGUI CM,RJ,ANIMALE ICARAI 02 CM,691.259,15.553
RJ,ANIMALE ICARAI 02 CM,BA,ANIMALE BARRA SALVADOR CM,1198.125,26.958
BA,ANIMALE BARRA SALVADOR CM,RJ,ANIMALE ICARAI 02 CM,1198.125,26.958
RJ,ANIMALE ICARAI 02 CM,RJ,ANIMALE BARRA SHOP CM,34.742,0.782
RJ,ANIMALE BARRA SHOP CM,RJ,ANIMALE ICARAI 02 CM,34.742,0.782
RJ,ANIMALE ICARAI 02 CM,RS,ANIMALE BARRA SUL CM,1135.253,25.543
RS,ANIMALE BARRA SUL CM,RJ,ANIMALE ICARAI 02 CM,1135.253,25.543
RJ,ANIMALE ICARAI 02 CM,PE,ANIMALE RECIFE CM,1857.163,41.786
PE,ANIMALE RECIFE CM,RJ,ANIMALE ICARAI 02 CM,1857.163,41.786
RJ,ANIMALE ICARAI 02 CM,RJ,ANIMALE RIO DESIGN CM,28.54,0.642
RJ,ANIMALE RIO DESIGN CM,RJ,ANIMALE ICARAI 02 CM,28.54,0.642
RJ,ANIMALE ICARAI 02 CM,RJ,ANIMALE RIO SUL CM,9.301,0.209
RJ,ANIMALE RIO SUL CM,RJ,ANIMALE ICARAI 02 CM,9.301,0.209
