SKU,FILIAL,VELOCIDADE_VENDA,ALVO,TRANSITO,EST_DISP,EST_TOTAL,CONT_RUPTURA,CONT_FALTA,CONT_EXCESSO,VOLUME_EXCESSO,DATA
52.13.6202-11055-TAM_4,ANIMALE OSCAR FREIRE CM,0.0,3.0,0.0,0.0,0.0,1,0,0,0.0,2025-08-16
52.13.6210-04343-TAM_1,ANIMALE OSCAR FREIRE CM,0.0,2.0,0.0,0.0,0.0,1,0,0,0.0,2025-08-16
52.13.6210-04343-TAM_2,ANIMALE OSCAR FREIRE CM,0.0,2.0,0.0,0.0,0.0,1,0,0,0.0,2025-08-16
52.13.6210-11073-TAM_1,ANIMALE OSCAR FREIRE CM,0.0,2.0,0.0,0.0,0.0,1,0,0,0.0,2025-08-16
52.13.6210-11073-TAM_3,ANIMALE OSCAR FREIRE CM,0.14285714285714285,2.0,0.0,0.0,0.0,1,0,0,0.0,2025-08-16
52.13.6213-0003-TAM_3,ANIMALE OSCAR FREIRE CM,0.14285714285714285,3.0,0.0,0.0,0.0,1,0,0,0.0,2025-08-16
52.13.6227-0600-TAM_1,ANIMALE OSCAR FREIRE CM,0.0,2.0,0.0,0.0,0.0,1,0,0,0.0,2025-08-16
52.13.6307-0003-TAM_3,ANIMALE OSCAR FREIRE CM,0.0,2.0,0.0,0.0,0.0,1,0,0,0.0,2025-08-16
52.13.6338-52594-TAM_1,ANIMALE OSCAR FREIRE CM,0.0,2.0,0.0,0.0,0.0,1,0,0,0.0,2025-08-16
52.13.6374-52564-TAM_1,ANIMALE OSCAR FREIRE CM,0.0,2.0,0.0,0.0,0.0,1,0,0,0.0,2025-08-16
52.13.6387-0030-TAM_1,ANIMALE OSCAR FREIRE CM,0.08333333333333333,2.0,0.0,0.0,0.0,1,0,0,0.0,2025-08-16
52.13.6388-1405-TAM_1,ANIMALE OSCAR FREIRE CM,0.0,2.0,1.0,0.0,1.0,1,0,0,0.0,2025-08-16
52.13.6388-1405-TAM_3,ANIMALE OSCAR FREIRE CM,0.0,2.0,0.0,0.0,0.0,1,0,0,0.0,2025-08-16
52.13.6390-11062-TAM_2,ANIMALE OSCAR FREIRE CM,0.14285714285714285,3.0,1.0,0.0,1.0,1,0,0,0.0,2025-08-16
52.13.6390-11062-TAM_3,ANIMALE OSCAR FREIRE CM,0.14285714285714285,3.0,0.0,0.0,0.0,1,0,0,0.0,2025-08-16
52.13.6391-0030-TAM_1,ANIMALE OSCAR FREIRE CM,0.0,2.0,0.0,0.0,0.0,1,0,0,0.0,2025-08-16
52.13.6391-0030-TAM_2,ANIMALE OSCAR FREIRE CM,0.0,2.0,0.0,0.0,0.0,1,0,0,0.0,2025-08-16
52.13.6391-0030-TAM_3,ANIMALE OSCAR FREIRE CM,0.0,2.0,0.0,0.0,0.0,1,0,0,0.0,2025-08-16
52.15.1583-0015-TAM_3,ANIMALE OSCAR FREIRE CM,0.0,2.0,0.0,0.0,0.0,1,0,0,0.0,2025-08-16
52.15.1705-0024-TAM_1,ANIMALE OSCAR FREIRE CM,0.0,2.0,0.0,0.0,0.0,1,0,0,0.0,2025-08-16
52.15.1722-11063-TAM_1,ANIMALE OSCAR FREIRE CM,0.14285714285714285,3.0,0.0,0.0,0.0,1,0,0,0.0,2025-08-16
52.15.1722-11063-TAM_4,ANIMALE OSCAR FREIRE CM,0.0,2.0,0.0,0.0,0.0,1,0,0,0.0,2025-08-16
52.15.1742-11055-TAM_1,ANIMALE OSCAR FREIRE CM,0.125,2.0,0.0,0.0,0.0,1,0,0,0.0,2025-08-16
03.01.1625-0005-TAM_3,ANIMALE ALPHAVILLE CM,0.0,1.0,0.0,0.0,0.0,1,0,0,0.0,2025-08-16
03.01.1704-0005-TAM_3,ANIMALE ALPHAVILLE CM,0.0,1.0,0.0,0.0,0.0,1,0,0,0.0,2025-08-16
03.01.1737-1531-TAM_1,ANIMALE ALPHAVILLE CM,0.0,1.0,0.0,0.0,0.0,1,0,0,0.0,2025-08-16
03.01.1746-10057-TAM_2,ANIMALE ALPHAVILLE CM,0.0,1.0,0.0,0.0,0.0,1,0,0,0.0,2025-08-16
03.01.1749-0005-TAM_2,ANIMALE ALPHAVILLE CM,0.15384615384615385,2.0,0.0,0.0,0.0,1,0,0,0.0,2025-08-16
03.01.1770-0105-TAM_3,ANIMALE ALPHAVILLE CM,0.0,1.0,0.0,0.0,0.0,1,0,0,0.0,2025-08-16
03.01.1772-0005-TAM_2,ANIMALE ALPHAVILLE CM,0.0,1.0,0.0,0.0,0.0,1,0,0,0.0,2025-08-16
03.01.1772-0005-TAM_3,ANIMALE ALPHAVILLE CM,0.0,1.0,0.0,0.0,0.0,1,0,0,0.0,2025-08-16
03.01.1772-0005-TAM_4,ANIMALE ALPHAVILLE CM,0.0,1.0,0.0,0.0,0.0,1,0,0,0.0,2025-08-16
03.01.1788-1531-TAM_2,ANIMALE ALPHAVILLE CM,0.0,1.0,0.0,0.0,0.0,1,0,0,0.0,2025-08-16
03.01.1795-10056-TAM_3,ANIMALE ALPHAVILLE CM,0.0,1.0,0.0,0.0,0.0,1,0,0,0.0,2025-08-16
03.01.1798-01026-TAM_2,ANIMALE ALPHAVILLE CM,0.14285714285714285,2.0,0.0,0.0,0.0,1,0,0,0.0,2025-08-16
03.01.1798-01026-TAM_3,ANIMALE ALPHAVILLE CM,0.0,1.0,0.0,0.0,0.0,1,0,0,0.0,2025-08-16
03.01.1798-01026-TAM_4,ANIMALE ALPHAVILLE CM,0.0,1.0,0.0,0.0,0.0,1,0,0,0.0,2025-08-16
03.01.1819-11076-TAM_5,ANIMALE ALPHAVILLE CM,0.14285714285714285,2.0,0.0,0.0,0.0,1,0,0,0.0,2025-08-16
03.01.1820-0005-TAM_6,ANIMALE ALPHAVILLE CM,0.14285714285714285,2.0,0.0,0.0,0.0,1,0,0,0.0,2025-08-16
03.01.1844-1531-TAM_1,ANIMALE ALPHAVILLE CM,0.0,1.0,0.0,0.0,0.0,1,0,0,0.0,2025-08-16
03.01.1844-1531-TAM_2,ANIMALE ALPHAVILLE CM,0.0,1.0,0.0,0.0,0.0,1,0,0,0.0,2025-08-16
03.04.0506-0005-TAM_2,ANIMALE ALPHAVILLE CM,0.0,1.0,0.0,0.0,0.0,1,0,0,0.0,2025-08-16
03.04.0506-0005-TAM_3,ANIMALE ALPHAVILLE CM,0.0,1.0,0.0,0.0,0.0,1,0,0,0.0,2025-08-16
03.04.0506-0005-TAM_5,ANIMALE ALPHAVILLE CM,0.0,1.0,0.0,0.0,0.0,1,0,0,0.0,2025-08-16
03.04.0507-0005-TAM_1,ANIMALE ALPHAVILLE CM,0.0,1.0,0.0,0.0,0.0,1,0,0,0.0,2025-08-16
03.04.0507-0005-TAM_3,ANIMALE ALPHAVILLE CM,0.0,1.0,0.0,0.0,0.0,1,0,0,0.0,2025-08-16
03.04.0528-6052-TAM_1,ANIMALE ALPHAVILLE CM,0.14285714285714285,2.0,0.0,0.0,0.0,1,0,0,0.0,2025-08-16
03.07.1531-11066-TAM_1,ANIMALE ALPHAVILLE CM,0.0,1.0,0.0,0.0,0.0,1,0,0,0.0,2025-08-16
03.31.0049-0003-TAM_2,ANIMALE ALPHAVILLE CM,0.0,1.0,0.0,0.0,0.0,1,0,0,0.0,2025-08-16
03.31.0050-0022-TAM_1,ANIMALE ALPHAVILLE CM,0.0,1.0,0.0,0.0,0.0,1,0,0,0.0,2025-08-16
03.31.0050-0022-TAM_2,ANIMALE ALPHAVILLE CM,0.0,1.0,0.0,0.0,0.0,1,0,0,0.0,2025-08-16
03.61.0092-0600-TAM_1,ANIMALE ALPHAVILLE CM,0.0,1.0,0.0,0.0,0.0,1,0,0,0.0,2025-08-16
03.61.0092-0600-TAM_2,ANIMALE ALPHAVILLE CM,0.0,1.0,0.0,0.0,0.0,1,0,0,0.0,2025-08-16
03.61.0092-0600-TAM_3,ANIMALE ALPHAVILLE CM,0.0,1.0,0.0,0.0,0.0,1,0,0,0.0,2025-08-16
07.20.7096-03354-TAM_2,ANIMALE ALPHAVILLE CM,0.0,1.0,0.0,0.0,0.0,1,0,0,0.0,2025-08-16
07.20.7096-03354-TAM_3,ANIMALE ALPHAVILLE CM,0.0,1.0,0.0,0.0,0.0,1,0,0,0.0,2025-08-16
07.20.7096-03354-TAM_4,ANIMALE ALPHAVILLE CM,0.0,1.0,0.0,0.0,0.0,1,0,0,0.0,2025-08-16
07.20.7155-10053-TAM_2,ANIMALE ALPHAVILLE CM,0.0,1.0,0.0,0.0,0.0,1,0,0,0.0,2025-08-16
07.20.7281-0005-TAM_3,ANIMALE ALPHAVILLE CM,0.0,1.0,0.0,0.0,0.0,1,0,0,0.0,2025-08-16
07.20.7347-0600-TAM_2,ANIMALE ALPHAVILLE CM,0.0,1.0,0.0,0.0,0.0,1,0,0,0.0,2025-08-16
07.20.7425-10056-TAM_1,ANIMALE ALPHAVILLE CM,0.0,1.0,0.0,0.0,0.0,1,0,0,0.0,2025-08-16
07.20.7425-10056-TAM_2,ANIMALE ALPHAVILLE CM,0.14285714285714285,2.0,0.0,0.0,0.0,1,0,0,0.0,2025-08-16
07.20.7435-1407-TAM_2,ANIMALE ALPHAVILLE CM,0.0,1.0,0.0,0.0,0.0,1,0,0,0.0,2025-08-16
07.20.7450-03354-TAM_2,ANIMALE ALPHAVILLE CM,0.0,1.0,0.0,0.0,0.0,1,0,0,0.0,2025-08-16
07.20.7463-09032-TAM_4,ANIMALE ALPHAVILLE CM,0.0,1.0,0.0,0.0,0.0,1,0,0,0.0,2025-08-16
07.20.7472-0005-TAM_3,ANIMALE ALPHAVILLE CM,0.0,1.0,0.0,0.0,0.0,1,0,0,0.0,2025-08-16
07.20.7485-04349-TAM_2,ANIMALE ALPHAVILLE CM,0.0,1.0,0.0,0.0,0.0,1,0,0,0.0,2025-08-16
07.20.7505-50460-TAM_2,ANIMALE ALPHAVILLE CM,0.0,1.0,0.0,0.0,0.0,1,0,0,0.0,2025-08-16
07.20.7523-0005-TAM_2,ANIMALE ALPHAVILLE CM,0.0,1.0,0.0,0.0,0.0,1,0,0,0.0,2025-08-16
07.20.7543-5199-TAM_1,ANIMALE ALPHAVILLE CM,0.0,1.0,0.0,0.0,0.0,1,0,0,0.0,2025-08-16
07.20.7686-0003-TAM_1,ANIMALE ALPHAVILLE CM,0.0,1.0,0.0,0.0,0.0,1,0,0,0.0,2025-08-16
07.20.7720-2030-TAM_2,ANIMALE ALPHAVILLE CM,0.09090909090909091,2.0,0.0,0.0,0.0,1,0,0,0.0,2025-08-16
07.20.7760-52561-TAM_4,ANIMALE ALPHAVILLE CM,0.1111111111111111,2.0,0.0,0.0,0.0,1,0,0,0.0,2025-08-16
07.20.7799-52564-TAM_4,ANIMALE ALPHAVILLE CM,0.0,1.0,0.0,0.0,0.0,1,0,0,0.0,2025-08-16
07.20.7814-0286-TAM_3,ANIMALE ALPHAVILLE CM,0.16666666666666666,2.0,0.0,0.0,0.0,1,0,0,0.0,2025-08-16
07.20.7891-0200-TAM_3,ANIMALE ALPHAVILLE CM,0.0,1.0,0.0,0.0,0.0,1,0,0,0.0,2025-08-16
07.20.7891-0200-TAM_4,ANIMALE ALPHAVILLE CM,0.0,1.0,0.0,0.0,0.0,1,0,0,0.0,2025-08-16
08.42.0424-0203-TAM_3,ANIMALE ALPHAVILLE CM,0.2857142857142857,4.0,0.0,0.0,0.0,1,0,0,0.0,2025-08-16
08.42.0424-0203-TAM_5,ANIMALE ALPHAVILLE CM,0.14285714285714285,2.0,0.0,0.0,0.0,1,0,0,0.0,2025-08-16
08.42.0464-6052-TAM_4,ANIMALE ALPHAVILLE CM,0.0,1.0,0.0,0.0,0.0,1,0,0,0.0,2025-08-16
09.01.2649-2019-TAM_2,ANIMALE ALPHAVILLE CM,0.0,1.0,0.0,0.0,0.0,1,0,0,0.0,2025-08-16
09.01.2651-1802-TAM_3,ANIMALE ALPHAVILLE CM,0.0,1.0,0.0,0.0,0.0,1,0,0,0.0,2025-08-16
09.02.0685-10056-TAM_1,ANIMALE ALPHAVILLE CM,0.0,1.0,0.0,0.0,0.0,1,0,0,0.0,2025-08-16
09.02.0685-10056-TAM_2,ANIMALE ALPHAVILLE CM,0.0,1.0,0.0,0.0,0.0,1,0,0,0.0,2025-08-16
09.28.0081-5346-TAM_2,ANIMALE ALPHAVILLE CM,0.0,1.0,0.0,0.0,0.0,1,0,0,0.0,2025-08-16
10.10.1068-1802-TAM_1,ANIMALE ALPHAVILLE CM,0.0,1.0,0.0,0.0,0.0,1,0,0,0.0,2025-08-16
10.10.1069-0005-TAM_1,ANIMALE ALPHAVILLE CM,0.0,1.0,0.0,0.0,0.0,1,0,0,0.0,2025-08-16
10.32.0110-04349-TAM_1,ANIMALE ALPHAVILLE CM,0.0,1.0,0.0,0.0,0.0,1,0,0,0.0,2025-08-16
11.05.0548-0600-TAM_2,ANIMALE ALPHAVILLE CM,0.0,1.0,0.0,0.0,0.0,1,0,0,0.0,2025-08-16
11.05.0563-0005-TAM_2,ANIMALE ALPHAVILLE CM,0.0,1.0,0.0,0.0,0.0,1,0,0,0.0,2025-08-16
11.05.0566-1100-TAM_1,ANIMALE ALPHAVILLE CM,0.0,1.0,0.0,0.0,0.0,1,0,0,0.0,2025-08-16
25.05.4287-0105-TAM_3,ANIMALE ALPHAVILLE CM,0.0,1.0,0.0,0.0,0.0,1,0,0,0.0,2025-08-16
25.05.4287-0105-TAM_4,ANIMALE ALPHAVILLE CM,0.0,1.0,0.0,0.0,0.0,1,0,0,0.0,2025-08-16
25.05.4328-09032-TAM_2,ANIMALE ALPHAVILLE CM,0.0,1.0,0.0,0.0,0.0,1,0,0,0.0,2025-08-16
25.05.4359-04343-TAM_1,ANIMALE ALPHAVILLE CM,0.0,1.0,0.0,0.0,0.0,1,0,0,0.0,2025-08-16
25.05.4435-0005-TAM_6,ANIMALE ALPHAVILLE CM,0.0,1.0,2.0,0.0,2.0,1,0,0,0.0,2025-08-16
25.05.4442-2030-TAM_2,ANIMALE ALPHAVILLE CM,0.0,1.0,0.0,0.0,0.0,1,0,0,0.0,2025-08-16
25.05.4442-2030-TAM_4,ANIMALE ALPHAVILLE CM,0.0,1.0,0.0,0.0,0.0,1,0,0,0.0,2025-08-16
25.05.4456-0101-TAM_2,ANIMALE ALPHAVILLE CM,0.0,1.0,1.0,0.0,1.0,1,0,0,0.0,2025-08-16
25.05.4459-01024-TAM_4,ANIMALE ALPHAVILLE CM,0.0,1.0,2.0,0.0,2.0,1,0,0,0.0,2025-08-16
25.05.4462-0003-TAM_4,ANIMALE ALPHAVILLE CM,0.14285714285714285,2.0,0.0,0.0,0.0,1,0,0,0.0,2025-08-16
25.05.4465-0105-TAM_2,ANIMALE ALPHAVILLE CM,0.0,1.0,0.0,0.0,0.0,1,0,0,0.0,2025-08-16
25.05.4465-0105-TAM_4,ANIMALE ALPHAVILLE CM,0.0,1.0,0.0,0.0,0.0,1,0,0,0.0,2025-08-16
